"FID","TILE","NM_MACRORH","GEOMETRY","ORDEMFINAL"
"1","071090","AMAZÔNICA","POLYGON ((-73.715927 -5.262282, -73.715927 -4.899549, -73.184897 -4.899549, -73.184897 -5.262282, -73.715927 -5.262282))",42
"2","071091","AMAZÔNICA","POLYGON ((-73.786529 -6.244476, -73.786529 -5.882326, -73.253528 -5.882326, -73.253528 -6.244476, -73.786529 -6.244476))",43
"3","071092","AMAZÔNICA","POLYGON ((-73.857638 -7.224934, -73.857638 -6.863268, -73.322651 -6.863268, -73.322651 -7.224934, -73.857638 -7.224934))",44
"4","071093","AMAZÔNICA","POLYGON ((-73.929259 -8.203928, -73.929259 -7.842644, -73.392272 -7.842644, -73.392272 -8.203928, -73.929259 -8.203928))",45
"5","071094","AMAZÔNICA","POLYGON ((-74.001398 -9.181726, -74.001398 -8.820725, -73.462395 -8.820725, -73.462395 -9.181726, -74.001398 -9.181726))",46
"6","072089","AMAZÔNICA","POLYGON ((-72.126218 -4.377245, -72.126218 -4.016523, -71.598568 -4.016523, -71.598568 -4.377245, -72.126218 -4.377245))",47
"7","072090","AMAZÔNICA","POLYGON ((-72.190929 -5.361585, -72.190929 -5.001542, -71.661331 -5.001542, -71.661331 -5.361585, -72.190929 -5.361585))",48
"8","072091","AMAZÔNICA","POLYGON ((-72.256103 -6.343947, -72.256103 -5.984481, -71.724542 -5.984481, -71.724542 -6.343947, -72.256103 -6.343947))",49
"9","072092","AMAZÔNICA","POLYGON ((-72.321745 -7.324603, -72.321745 -6.965614, -71.788207 -6.965614, -71.788207 -7.324603, -72.321745 -7.324603))",50
"10","072093","AMAZÔNICA","POLYGON ((-72.387861 -8.303822, -72.387861 -7.945211, -71.85233 -7.945211, -71.85233 -8.303822, -72.387861 -8.303822))",51
"11","072094","AMAZÔNICA","POLYGON ((-72.454454 -9.281876, -72.454454 -8.923544, -71.916917 -8.923544, -71.916917 -9.281876, -72.454454 -9.281876))",52
"12","072095","AMAZÔNICA","POLYGON ((-72.521531 -10.259034, -72.521531 -9.900881, -71.981972 -9.900881, -71.981972 -10.259034, -72.521531 -10.259034))",53
"13","073083","AMAZÔNICA","POLYGON ((-70.258352 1.495213, -70.258352 1.859421, -69.743502 1.859421, -69.743502 1.495213, -70.258352 1.495213))",54
